#Title: UBVRI Photometric Standard Stars Around The Celestial Equator: Updates and Additions.   Landolt, 2009, AJ 137, 4186
#Author: Landolt A.U. Table: UBVRI Photometry of Standard Stars   aj298675t2_mrt.txt   PM (mas/yr)added from table5 aj298675t5_mrt.txt. 
# Blanks removed from name strings, Colons in coords, Errors for single obs changed from blanks to 0.009, DLtypes where available from: Drilling & Landolt 1979, AJ, 84, 783 
# Tphe-E removed, 0-593 stars.  SA92-260 & SA109-956 coords (and 2mass) corrected
#-------------------------------------------------------Landolt 2009------------------------------------------------------------------------------|------------------- 2MASS ---------------------------------------|----------------UKIRT-----------|-NOMAD
name       RhRmRs      Dddmds      V     B-V    U-B    V-R    R-I    V-I     n   m   eV    eBV    eUB    eVR    eVI     pmRA     pmDE  DLtype    J2m  meJ2m   H2m  meH2m   K2m  meK2m    2mra      2mde   d2m"    Zv     Yv    Jmko   Hmko  Kmko    Rn 
SA92-263    00:55:39.384 +00:36:19.50 11.782 +1.046 +0.844 +0.562 +0.521 +1.083  79  60 0.0008 0.0007 0.0018 0.0006 0.0007     6.3    -2.3  G8III_   9.935 0.024  9.376 0.022  9.263 0.026  13.91406  +0.60549  0.3 -9.99  -9.99  -9.99  -9.99  -9.99  10.99
SA92-497    00:55:54.346 +01:11:42.13 13.642 +0.729 +0.257 +0.404 +0.378 +0.783   1   1 0.009  0.009  0.009  0.009  0.009      6.1   -15.6  ______  12.320 0.026 12.002 0.029 11.915 0.024  13.97644  +1.19503  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  13.13
SA92-498    00:55:56.529 +01:10:40.86 14.408 +1.010 +0.794 +0.648 +0.531 +1.181   1   1 0.009  0.009  0.009  0.009  0.009     12.5    -1.6  ______  12.423 0.023 11.881 0.024 11.780 0.023  13.98554  +1.17801  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  13.72
SA92-500    00:55:57.986 +01:10:25.14 15.841 +1.003 +0.211 +0.738 +0.599 +1.338   1   1 0.009  0.009  0.009  0.009  0.009     10.8   -12.2  ______  13.625 0.023 13.050 0.026 12.950 0.024  13.99161  +1.17362  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.97
SA92-425    00:55:58.180 +00:52:58.49 13.941 +1.191 +1.173 +0.755 +0.627 +1.384  36  19 0.0038 0.0067 0.0115 0.0023 0.0038   -25.5   -13.2  ______  11.677 0.023 11.124 0.026 10.985 0.023  13.99242  +0.88295  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.99
SA92-426    00:55:59.594 +00:52:54.39 14.466 +0.729 +0.184 +0.412 +0.396 +0.809   8   4 0.0099 0.0131 0.0293 0.0078 0.0120    25.7    -4.6  ______  13.091 0.023 12.729 0.026 12.641 0.024  13.99832  +0.88181  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.07
SA92-501    00:56:00.113 +01:10:51.22 12.958 +0.610 +0.068 +0.345 +0.331 +0.677   1   1 0.009  0.009  0.009  0.009  0.009    -15.0   -18.8  ______  11.792 0.022 11.529 0.023 11.446 0.019  14.00047  +1.18089  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  12.47
SA92-355    00:56:05.678 +00:50:46.78 14.965 +1.164 +1.201 +0.759 +0.645 +1.406  15   7 0.0088 0.0124 0.0465 0.0070 0.0090     7.5   -11.3  ______  12.696 0.023 12.052 0.024 11.974 0.024  14.02367  +0.84635  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.25
SA92-427    00:56:06.648 +01:00:20.83 14.953 +0.809 +0.352 +0.462 +2.922 +3.275   2   1 0.0021 0.0085 0.0233 0.0014 0.0092    -1.4    -2.4  ______  13.495 0.026 13.044 0.027 12.988 0.026  14.02770  +1.00582  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.56
SA92-502    00:56:08.126 +01:04:25.04 11.812 +0.486 -0.095 +0.284 +0.292 +0.576   1   1 0.009  0.009  0.009  0.009  0.009      5.9     3.2  ______  10.855 0.023 10.608 0.026 10.576 0.019  14.03386  +1.07365  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  11.31
