#Title: UBVRI Photometric Standard Stars Around The Celestial Equator: Updates and Additions.   Landolt, 2009, AJ 137, 4186
#Author: Landolt A.U. Table: UBVRI Photometry of Standard Stars   aj298675t2_mrt.txt   PM (mas/yr)added from table5 aj298675t5_mrt.txt. 
# Blanks removed from name strings, Colons in coords, Errors for single obs changed from blanks to 0.009, DLtypes where available from: Drilling & Landolt 1979, AJ, 84, 783 
# Tphe-E removed, 0-593 stars.  SA92-260 & SA109-956 coords (and 2mass) corrected
#-------------------------------------------------------Landolt 2009------------------------------------------------------------------------------|------------------- 2MASS ---------------------------------------|----------------UKIRT-----------|-NOMAD
name       RhRmRs      Dddmds      V     B-V    U-B    V-R    R-I    V-I     n   m   eV    eBV    eUB    eVR    eVI     pmRA     pmDE  DLtype    J2m  meJ2m   H2m  meH2m   K2m  meK2m    2mra      2mde   d2m"    Zv     Yv    Jmko   Hmko  Kmko    Rn 
SA101-320   09:55:32.924 -00:22:32.72 13.823 +1.052 +0.690 +0.581 +0.561 +1.141  11   7 0.0048 0.0103 0.0181 0.0039 0.0045    -6.0   -10.0  ______  11.875 0.024 11.265 0.023 11.175 0.023 148.88717  -0.37572  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.19
SA101-L2    09:55:34.688 -00:18:50.10 15.770 +0.602 +0.082 +0.321 +0.304 +0.625   1   1 0.009  0.009  0.009  0.009  0.009     -7.5    -6.9  ______  14.507 0.037 14.260 0.045 14.155 0.074 148.89448  -0.31388  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  15.17
SA101-404   09:55:40.673 -00:18:22.23 13.459 +0.996 +0.697 +0.530 +0.500 +1.029  12   7 0.0040 0.0078 0.0095 0.0049 0.0055     8.3    14.9  ______  11.680 0.024 11.156 0.023 11.067 0.019 148.91945  -0.30615  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.76
SA101-324   09:55:56.650 -00:23:15.10  9.737 +1.161 +1.145 +0.591 +0.519 +1.109  60  47 0.0005 0.0008 0.0018 0.0006 0.0010     6.3     1.6  K0III_   7.764 0.020  7.256 0.036  7.090 0.036 148.98605  -0.38749  0.1 -9.99  -9.99  -9.99  -9.99  -9.99   8.86
SA101-408   09:56:08.001 -00:12:41.28 14.785 +1.200 +1.347 +0.718 +0.603 +1.321   2   1 0.0240 0.0438 0.0170 0.0170 0.0297   -27.9     9.9  ______  12.617 0.022 12.059 0.022 11.949 0.024 149.03336  -0.21144  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.13
SA101-262   09:56:08.096 -00:29:50.50 14.295 +0.784 +0.297 +0.440 +0.387 +0.827   4   2 0.0045 0.0160 0.0205 0.0075 0.0035     7.2    -7.4  ______  12.908 0.024 12.511 0.023 12.419 0.023 149.03373  -0.49732  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.61
SA101-326   09:56:08.101 -00:27:10.94 14.923 +0.729 +0.227 +0.406 +0.375 +0.780  13   6 0.0078 0.0094 0.0128 0.0055 0.0122    -5.6    -2.9  ______  13.649 0.024 13.328 0.023 13.231 0.034 149.03370  -0.45299  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  14.36
SA101-327   09:56:08.86  -00:25:53.5  13.441 +1.155 +1.139 +0.717 +0.574 +1.290  28  15 0.0032 0.0057 0.0098 0.0023 0.0028     2.0   -38.0  ______  11.298 0.023 10.770 0.023 10.643 0.021 149.03691  -0.43153  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  12.70
SA101-410   09:56:09.136 -00:14:02.23 13.646 +0.546 -0.063 +0.298 +0.326 +0.623   2   1 0.0085 0.0014 0.0021 0.0106 0.0064   -15.5     1.7  ______  12.560 0.022 12.299 0.021 12.285 0.026 149.03808  -0.23392  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.31
SA101-413   09:56:14.009 -00:11:54.86 12.583 +0.983 +0.716 +0.529 +0.497 +1.025   9   6 0.0023 0.0047 0.0103 0.0033 0.0040   -13.5     7.5  ______  10.787 0.022 10.294 0.021 10.199 0.023 149.05838  -0.19855  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  11.95
SA101-268   09:56:17.377 -00:31:57.05 14.380 +1.531 +1.381 +1.040 +1.200 +2.237  11   5 0.0078 0.0199 0.0769 0.0048 0.0045  -231.2    20.2  ______  10.903 0.022 10.351 0.023 10.088 0.019 149.07242  -0.53248  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  13.38
SA101-330   09:56:20.587 -00:27:22.12 13.723 +0.577 -0.026 +0.346 +0.338 +0.684  28  14 0.0038 0.0038 0.0051 0.0028 0.0064   -13.8    -1.8  ______  12.574 0.024 12.293 0.022 12.233 0.026 149.08579  -0.45608  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  13.21
SA101-415   09:56:23.145 -00:16:53.02 15.259 +0.577 -0.008 +0.346 +0.350 +0.695   2   1 0.0028 0.0247 0.0021 0.0198 0.0332   -13.5    -4.9  ______  14.047 0.026 13.769 0.029 13.646 0.038 149.09641  -0.28138  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.84
SA101-270   09:56:27.023 -00:35:44.15 13.711 +0.554 +0.055 +0.332 +0.306 +0.637   2   1 0.009  0.0014 0.0127 0.0049 0.0014   -19.7     1.7  ______  12.657 0.024 12.342 0.023 12.321 0.026 149.11255  -0.59557  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  13.27
SA101-278   09:56:54.467 -00:29:38.39 15.494 +1.041 +0.737 +0.596 +0.548 +1.144   2   1 0.0184 0.0226 0.0269 0.0198 0.0346   -18.9     8.2  ______  13.568 0.025 13.056 0.027 12.862 0.040 149.22692  -0.49399  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.67
SA101-L3    09:56:55.025 -00:30:25.47 15.953 +0.637 -0.033 +0.396 +0.395 +0.792   2   1 0.0233 0.0184 0.0707 0.0382 0.0870   -13.1     3.7  ______  14.700 0.037 14.512 0.065 14.284 0.085 149.22924  -0.50708  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  15.24
SA101-281   09:57:05.02  -00:31:43.2  11.576 +0.812 +0.415 +0.453 +0.412 +0.864  23  15 0.0023 0.0013 0.0031 0.0013 0.0013     4.9    -3.6  G3:___  10.115 0.022  9.725 0.025  9.628 0.023 149.27092  -0.52866  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  10.89
SA101-L4    09:57:07.76  -00:31:24.4  16.264 +0.793 +0.362 +0.578 +0.062 +0.644   2   1 0.0170 0.0141 0.0014 0.0191 0.2807     0.0     0.0  ______  14.746 0.041 14.327 0.050 14.192 0.072 149.28235  -0.52345  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  15.54
SA101-L5    09:57:10.21  -00:30:40.3  15.928 +0.622 +0.115 +0.414 +0.305 +0.720   2   1 0.0106 0.0283 0.0863 0.0078 0.0212     0.0     0.0  ______  14.566 0.038 14.223 0.050 14.200 0.067 149.29253  -0.51118  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  15.36
SA101-421   09:57:16.107 -00:17:18.20 13.180 +0.507 -0.031 +0.327 +0.296 +0.623   2   1 0.0021 0.0021 0.0035 0.0021 0.0014    -4.5    -3.9  ______  12.192 0.024 11.887 0.025 11.861 0.027 149.31707  -0.28838  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  12.74
SA101-338   09:57:17.754 -00:21:00.34 13.788 +0.634 +0.024 +0.350 +0.340 +0.691   2   1 0.0071 0.0071 0.0042 0.0021 0.0014   -30.9     3.1  ______  12.603 0.025 12.239 0.027 12.232 0.030 149.32399  -0.35006  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.54
SA101-339   09:57:18.389 -00:25:01.80 14.449 +0.850 +0.501 +0.458 +0.398 +0.857   2   1 0.0099 0.0085 0.0099 0.0240 0.0290   -14.3    -3.1  ______  12.989 0.026 12.597 0.028 12.583 0.034 149.32663  -0.41714  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.74
SA101-424   09:57:20.263 -00:16:25.88 15.058 +0.764 +0.273 +0.429 +0.425 +0.855   2   1 0.0276 0.0389 0.0191 0.0226 0.0431    -8.1     3.3  ______  13.717 0.028 13.395 0.034 13.279 0.038 149.33445  -0.27382  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.39
SA101-427   09:57:26.429 -00:17:16.96 14.964 +0.805 +0.321 +0.484 +0.369 +0.854   2   1 0.0269 0.0297 0.0014 0.0247 0.0368   -25.4    -1.6  ______  13.510 0.026 13.054 0.029 12.976 0.038 149.36012  -0.28803  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  14.36
SA101-341   09:57:29.828 -00:21:53.80 14.342 +0.575 +0.059 +0.332 +0.309 +0.641   2   1 0.0113 0.0141 0.0071 0.0007 0.0071    -9.0   -12.3  ______  13.273 0.023 13.054 0.029 13.035 0.039 149.37430  -0.36491  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.09
SA101-342   09:57:31.21  -00:21:50.9  15.556 +0.529 -0.065 +0.339 +0.419 +0.758   2   1 0.0141 0.0085 0.0085 0.0240 0.0226     2.0     6.0  ______  14.498 0.040 14.147 0.041 14.179 0.076 149.38006  -0.36414  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  15.28
SA101-343   09:57:31.301 -00:22:55.34 15.504 +0.606 +0.094 +0.396 +0.338 +0.734   2   1 0.0276 0.0488 0.0177 0.0226 0.0481   -14.6    -3.1  ______  14.235 0.032 13.857 0.039 13.820 0.054 149.38041  -0.38203  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  15.11
SA101-429   09:57:31.73  -00:18:15.2  13.496 +0.980 +0.782 +0.617 +0.526 +1.143  23  13 0.0039 0.0019 0.0060 0.0017 0.0030   -24.0    38.0  ______  11.584 0.022 11.014 0.023 10.917 0.022 149.38222  -0.30422  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  12.73
SA101-431   09:57:37.322 -00:17:53.28 13.684 +1.246 +1.144 +0.808 +0.708 +1.517  23  13 0.0056 0.0063 0.0102 0.0033 0.0042     4.7   -12.3  ______  11.256 0.023 10.623 0.025 10.467 0.025 149.40553  -0.29810  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.82
SA101-L6    09:57:39.54  -00:17:53.8  16.497 +0.711 +0.183 +0.445 +0.583 +1.024   2   1 0.0219 0.0092 0.0311 0.0113 0.1732    -2.0     4.0  ______  15.227 0.051 14.886 0.081 14.963 0.155 149.41477  -0.29829  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  16.04
SA101-207   09:57:52.495 -00:47:36.17 12.421 +0.513 -0.080 +0.320 +0.323 +0.645  26  18 0.0016 0.0018 0.0039 0.0014 0.0015    -4.8     5.4  F8____  11.322 0.023 11.069 0.025 10.998 0.023 149.46873  -0.79338  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  11.51
SA101-363   09:58:18.722 -00:25:36.51  9.874 +0.260 +0.132 +0.146 +0.151 +0.297  57  48 0.0010 0.0006 0.0016 0.0007 0.0010     1.2    -5.5  A7____   9.331 0.025  9.246 0.025  9.199 0.025 149.57800  -0.42681  0.0 -9.99  -9.99  -9.99  -9.99  -9.99   9.49
GD-108A     10:00:39.585 -07:33:25.10 13.881 +0.789 +0.316 +0.458 +0.449 +0.909  15   8 0.0018 0.0032 0.0066 0.0010 0.0011   -18.1    -4.8  ______  12.338 0.024 11.907 0.022 11.840 0.024 150.16492  -7.55696  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.30
GD-108B     10:00:42.665 -07:31:07.90 15.056 +0.839 +0.364 +0.463 +0.466 +0.924  20   9 0.0019 0.0043 0.0092 0.0029 0.0048    -2.6   -10.6  ______  13.493 0.024 13.047 0.034 12.949 0.035 150.17776  -7.51885  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.50
GD-108      10:00:47.25  -07:33:31.0  13.563 -0.214 -0.943 -0.099 -0.118 -0.218  22  13 0.0025 0.0038 0.0039 0.0024 0.0026   -38.0    -4.0  ______  14.098 0.030 14.139 0.039 14.256 0.088 150.19689  -7.55861  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.62
GD-108C     10:00:55.223 -07:30:29.59 13.819 +0.786 +0.345 +0.435 +0.393 +0.825  16   9 0.0011 0.0034 0.0037 0.0031 0.0043     1.5   -12.3  ______  12.403 0.026 12.016 0.024 11.935 0.023 150.23009  -7.50829  0.3 -9.99  -9.99  -9.99  -9.99  -9.99  13.27
GD-108D     10:00:55.916 -07:34:51.83 14.235 +0.641 +0.078 +0.372 +0.357 +0.731  16   8 0.0010 0.0020 0.0050 0.0022 0.0034    -5.3    -6.0  ______  12.986 0.026 12.618 0.024 12.535 0.026 150.23299  -7.58113  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  13.63
BD+01_2447  10:28:55.551 +00:50:27.56  9.650 +1.501 +1.238 +1.033 +1.225 +2.261  24  14 0.0027 0.0046 0.0082 0.0024 0.0030  -602.7  -736.5  ______   6.176 0.021  5.605 0.033  5.311 0.023 157.23149  +0.84098  0.1 -9.99  -9.99  -9.99  -9.99  -9.99   8.72
G162-66     10:33:42.763 -11:41:38.35 13.012 -0.165 -0.997 -0.126 -0.141 -0.266  88  71 0.0014 0.0010 0.0019 0.0009 0.0025  -342.5   -27.2  ______  13.572 0.022 13.695 0.022 13.833 0.047 158.42822 -11.69398  0.2 13.269 13.535 13.625 13.691 13.789 13.22
G44-27      10:36:01.21  +05:07:12.8  12.636 +1.586 +1.088 +1.185 +1.526 +2.714   8   4 0.0120 0.0106 0.0106 0.0046 0.0032  -661.0   128.0  ______   8.463 0.024  7.875 0.027  7.598 0.023 159.00503  +5.12023  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  13.22
PG1034+001  10:37:03.803 -00:08:19.11 13.228 -0.365 -1.274 -0.155 -0.203 -0.359  33  16 0.0024 0.0024 0.0033 0.0026 0.0054   -83.7    28.9  ______  14.059 0.030 14.163 0.039 14.372 0.074 159.26588  -0.13870  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  13.48
G163-6      10:42:54.16  +02:47:20.6  14.706 +1.550 +1.228 +1.090 +1.384 +2.478   4   3 0.0070 0.0115 0.0655 0.0090 0.0085  -241.0   -44.0  ______  10.860 0.021 10.283 0.022 10.060 0.021 160.72568  +2.78907  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.74
PG1047+003  10:50:02.825 -00:00:36.85 13.474 -0.290 -1.121 -0.132 -0.162 -0.295  32  18 0.0039 0.0030 0.0041 0.0037 0.0110   -17.7   -35.5  ______  14.152 0.029 14.214 0.047 14.319 0.075 162.51172  -0.01026  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  13.81
PG1047+003A 10:50:05.653 -00:01:11.25 13.512 +0.688 +0.168 +0.422 +0.418 +0.840  15   7 0.0046 0.0049 0.0067 0.0026 0.0036   -12.8   -10.8  ______  12.058 0.024 11.704 0.025 11.566 0.024 162.52349  -0.01979  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  13.21
PG1047+003B 10:50:07.915 -00:02:04.36 14.751 +0.679 +0.172 +0.391 +0.371 +0.764  13   5 0.0050 0.0086 0.0128 0.0022 0.0086   -21.8     1.6  ______  13.475 0.024 13.177 0.027 13.104 0.031 162.53292  -0.03456  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  14.52
PG1047+003C 10:50:13.682 -00:00:32.35 12.453 +0.607 -0.019 +0.378 +0.358 +0.737  11   6 0.0093 0.0024 0.0060 0.0036 0.0045   -34.5    17.6  ______  11.280 0.022 10.930 0.022 10.889 0.021 162.55696  -0.00898  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  12.34
G44-40      10:50:52.01  +06:48:29.3  11.675 +1.644 +1.213 +1.216 +1.568 +2.786  13   6 0.0033 0.0031 0.0092 0.0031 0.0039  -845.0  -815.0  ______   7.319 0.023  6.707 0.051  6.371 0.016 162.71672  +6.80814  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.34
SA102-620   10:55:04.231 -00:48:18.88 10.074 +1.080 +1.025 +0.645 +0.524 +1.169  82  72 0.0006 0.0005 0.0014 0.0004 0.0007  -234.3    13.6  M0III_   8.136 0.023  7.663 0.046  7.508 0.016 163.76769  -0.80522  0.2 -9.99  -9.99  -9.99  -9.99  -9.99   9.44
G45-20      10:56:28.91  +07:00:53.2  13.507 +2.034 +1.165 +1.823 +2.174 +4.000  19  10 0.0060 0.0069 0.0346 0.0073 0.0062 -3842.0 -2725.0  ______   7.085 0.024  6.482 0.042  6.084 0.017 164.12027  +7.01466  0.8 -9.99  -9.99  -9.99  -9.99  -9.99   9.44
SA102-1081  10:57:04.045 -00:13:12.87  9.903 +0.664 +0.258 +0.366 +0.332 +0.697  89  80 0.0007 0.0006 0.0013 0.0005 0.0008     4.1   -46.3  G5IV__   8.732 0.026  8.481 0.044  8.432 0.023 164.26683  -0.22022  0.1 -9.99  -9.99  -9.99  -9.99  -9.99   9.43
G163-27     10:57:35.18  -07:31:23.3  14.338 +0.288 -0.548 +0.206 +0.210 +0.417  26  15 0.0055 0.0047 0.0065 0.0041 0.0082  -816.0    90.0  ______  13.770 0.029 13.680 0.032 13.485 0.038 164.39657  -7.52314  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.08
G163-51E    11:07:22.332 -05:16:13.86 14.466 +0.611 +0.095 +0.381 +0.344 +0.725   1   1 0.0150 0.0150 0.0200 0.0150 0.0150   -21.4    -5.6  ______  11.598 0.022 11.143 0.023 11.085 0.027 166.84304  -5.27049  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.55
G163-51B    11:07:32.846 -05:12:37.29 11.292 +0.623 +0.119 +0.355 +0.336 +0.692   6   3 0.0029 0.0016 0.0024 0.0012 0.0029   -63.3     3.2  ______  10.164 0.024  9.861 0.024  9.793 0.023 166.88686  -5.21036  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  10.97
G163-51C    11:07:33.782 -05:14:20.26 12.672 +0.431 -0.009 +0.267 +0.272 +0.540   6   3 0.0033 0.0049 0.0061 0.0024 0.0045   -13.1     4.7  ______  11.810 0.026 11.600 0.026 11.553 0.024 166.89075  -5.23896  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  12.03
G163-51D    11:07:34.915 -05:15:00.50 13.862 +0.844 +0.202 +0.478 +0.466 +0.945   6   3 0.0041 0.0029 0.0171 0.0045 0.0114   -11.7   -19.6  ______  12.233 0.024 11.749 0.026 11.674 0.023 166.89548  -5.25013  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  13.47
G163-51A    11:07:37.196 -05:12:23.31 12.504 +0.666 +0.060 +0.382 +0.371 +0.753   6   3 0.0037 0.0020 0.0037 0.0037 0.0057   -45.1   -13.6  ______  11.245 0.024 10.882 0.024 10.815 0.019 166.90498  -5.20646  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  11.86
G163-50     11:07:59.950 -05:09:26.10 13.057 +0.036 -0.696 -0.084 -0.072 -0.158  84  70 0.0009 0.0012 0.0014 0.0009 0.0022   -70.8  -446.1  ______  13.405 0.026 13.445 0.030 13.544 0.056 166.99978  -5.15719  0.2 13.264 13.389 13.427 13.457 13.509 13.24
G163-51     11:08:06.539 -05:13:47.19 12.559 +1.499 +1.195 +1.080 +1.355 +2.434  47  34 0.0012 0.0021 0.0087 0.0010 0.0012   -55.8  -462.4  ______   8.797 0.027  8.137 0.034  7.933 0.020 167.02728  -5.22968  0.3 -9.99  -9.99  -9.99  -9.99  -9.99  11.40
BD+05_2468  11:15:30.897 +04:57:23.52  9.352 -0.114 -0.543 -0.035 -0.052 -0.089  42  35 0.0017 0.0010 0.0017 0.0006 0.0013   -36.2     9.6  ______   9.554 0.023  9.629 0.026  9.621 0.020 168.87873  +4.95654  0.0 -9.99  -9.99  -9.99  -9.99  -9.99   9.42
HD100340    11:32:49.941 +05:16:36.23 10.115 -0.234 -0.975 -0.104 -0.135 -0.238  37  28 0.0012 0.0010 0.0018 0.0005 0.0011     2.9    11.9  ______  10.614 0.023 10.748 0.023 10.801 0.024 173.20807  +5.27675  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  10.24
BD+05_2529  11:41:49.593 +05:08:26.54  9.585 +1.233 +1.194 +0.783 +0.667 +1.452  35  27 0.0011 0.0012 0.0024 0.0009 0.0011   225.5  -469.3  ______   7.230 0.026  6.594 0.059  6.425 0.020 175.45665  +5.14070  0.0 -9.99  -9.99  -9.99  -9.99  -9.99   8.91
G10-50      11:47:44.390 +00:48:16.40 11.153 +1.752 +1.318 +1.294 +1.673 +2.969  14   7 0.0024 0.0024 0.0078 0.0037 0.0037   595.1 -1222.5  ______   6.505 0.023  5.945 0.024  5.654 0.024 176.93502  +0.80457  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  10.58
SA103-302   11:56:06.021 -00:47:54.36  9.859 +0.370 -0.057 +0.230 +0.236 +0.465  76  63 0.0007 0.0005 0.0009 0.0005 0.0009   -48.2    12.2  F3____   9.072 0.020  8.957 0.023  8.883 0.021 179.02509  -0.79841  0.1 -9.99  -9.99  -9.99  -9.99  -9.99   9.63
SA103-626   11:56:46.156 -00:23:14.71 11.836 +0.413 -0.057 +0.262 +0.274 +0.535  17  10 0.0034 0.0027 0.0032 0.0022 0.0024    16.7    -8.6  F3____  10.915 0.022 10.738 0.022 10.678 0.021 179.19232  -0.38740  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  11.54
SA103-526   11:56:54.182 -00:30:13.47 10.890 +1.090 +0.936 +0.560 +0.501 +1.056   9   6 0.0005 0.0010 0.0005 0.0011 0.0014   -15.3    13.1  K0III_   9.020 0.019  8.475 0.053  8.362 0.031 179.22579  -0.50374  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  10.64
G12-43      12:33:17.38  +09:01:15.8  12.467 +1.846 +1.085 +1.530 +1.944 +3.479  13   6 0.0042 0.0053 0.0466 0.0053 0.0033 -1754.0   220.0  ______   6.995 0.024  6.397 0.034  6.042 0.020 188.32243  +9.02105  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  11.29
SA104-306   12:41:03.619 -00:37:13.83  9.370 +1.592 +1.666 +0.832 +0.762 +1.591  89  68 0.0067 0.0030 0.0059 0.0020 0.0033     5.6   -34.3  K2V___   6.653 0.023  5.910 0.027  5.775 0.018 190.26506  -0.62054  0.1 -9.99  -9.99  -9.99  -9.99  -9.99   8.45
SA104-423   12:41:35.959 -00:31:11.26 15.602 +0.630 +0.050 +0.262 +0.559 +0.818   2   1 0.0247 0.0389 0.0269 0.0361 0.1520   -11.4     4.5  ______  14.343 0.035 14.100 0.033 13.987 0.062 190.39984  -0.51984  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  15.24
SA104-428   12:41:41.284 -00:26:26.13 12.630 +0.985 +0.748 +0.534 +0.497 +1.032  25  16 0.0038 0.0028 0.0044 0.0024 0.0036    -5.4    -0.1  ______  10.811 0.026 10.316 0.022 10.180 0.021 190.42201  -0.44062  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.08
SA104-L1    12:41:49.42  -00:21:01.2  14.608 +0.630 +0.064 +0.374 +0.364 +0.739   2   1 0.0007 0.0014 0.0127 0.0113 0.0042     0.0     0.0  ______  15.580 0.061 15.403 0.090 15.105 0.164 190.45593  -0.35034  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  16.36
SA104-430   12:41:50.259 -00:25:52.44 13.858 +0.652 +0.131 +0.364 +0.363 +0.727  15   8 0.0052 0.0062 0.0085 0.0046 0.0065    -8.7    -7.6  ______  12.593 0.021 12.291 0.022 12.159 0.027 190.45943  -0.43126  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.64
SA104-325   12:42:02.210 -00:41:35.93 15.581 +0.694 +0.051 +0.345 +0.307 +0.652   2   1 0.0163 0.0431 0.0219 0.0255 0.0403    -7.8    -9.9  ______  14.387 0.029 14.146 0.034 14.078 0.063 190.50921  -0.69336  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  15.20
SA104-330   12:42:11.418 -00:40:41.44 15.296 +0.594 -0.028 +0.369 +0.371 +0.739  15   6 0.0103 0.0276 0.0155 0.0124 0.0225    -0.2   -20.3  ______  14.030 0.030 13.673 0.035 13.554 0.038 190.54761  -0.67814  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  14.95
SA104-440   12:42:14.30  -00:24:46.3  15.114 +0.440 -0.227 +0.289 +0.317 +0.605  11   5 0.0081 0.0084 0.0103 0.0069 0.0262   -64.0    -4.0  ______  14.096 0.029 13.807 0.029 13.772 0.049 190.55958  -0.41287  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  14.91
SA104-237   12:42:16.874 -00:51:18.21 15.395 +1.088 +0.918 +0.647 +0.628 +1.274   1   1 0.009  0.009  0.009  0.009  0.009     12.0   -17.8  ______  13.354 0.024 12.868 0.023 12.728 0.025 190.57032  -0.85499  0.3 -9.99  -9.99  -9.99  -9.99  -9.99  14.82
SA104-L2    12:42:19.621 -00:34:23.90 16.048 +0.650 -0.172 +0.344 +0.323 +0.667   4   2 0.0190 0.0265 0.0450 0.0295 0.1000   -20.4    -9.1  ______  14.795 0.037 14.531 0.035 14.561 0.086 190.58176  -0.57329  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  15.72
SA104-443   12:42:19.813 -00:25:21.21 15.372 +1.331 +1.280 +0.817 +0.778 +1.595   3   2 0.0087 0.0023 0.1120 0.0139 0.0202   -14.9    -1.8  ______  12.831 0.024 12.188 0.025 12.020 0.024 190.58254  -0.42253  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.56
SA104-444   12:42:20.021 -00:32:28.17 13.477 +0.512 -0.070 +0.313 +0.331 +0.643   2   1 0.0014 0.0099 0.0085 0.0021 0.0007   -18.8   -11.9  G0:___  12.009 0.024 11.693 0.023 11.620 0.024 190.58342  -0.54112  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.99
SA104-334   12:42:20.425 -00:40:28.35 13.484 +0.518 -0.067 +0.323 +0.331 +0.653  24  16 0.0047 0.0031 0.0039 0.0029 0.0047   -20.5    -6.6  ______  12.365 0.022 12.094 0.025 12.006 0.025 190.58511  -0.67450  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.31
SA104-335   12:42:20.894 -00:33:08.19 11.665 +0.622 +0.145 +0.357 +0.334 +0.691   4   2 0.0095 0.0010 0.0020 0.0035 0.0070   -18.9    -7.7  G2V___  10.535 0.026 10.272 0.025 10.212 0.023 190.58706  -0.55225  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  11.02
SA104-239   12:42:22.91  -00:46:35.6  13.936 +1.356 +1.291 +0.868 +0.805 +1.675   7   3 0.0060 0.0087 0.0231 0.0045 0.0057   -12.0   -34.0  ______  11.279 0.022 10.638 0.023 10.466 0.021 190.59547  -0.77656  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.12
SA104-336   12:42:24.64  -00:39:58.0  14.404 +0.830 +0.495 +0.461 +0.403 +0.865  14   6 0.0067 0.0072 0.0123 0.0059 0.0104     0.0    -4.0  ______  12.892 0.024 12.561 0.025 12.436 0.025 190.60266  -0.66610  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  14.07
SA104-338   12:42:30.142 -00:38:32.39 16.059 +0.591 -0.082 +0.348 +0.372 +0.719   8   5 0.0078 0.0219 0.0368 0.0088 0.0170   -12.0     1.3  ______  14.924 0.039 14.557 0.056 14.588 0.092 190.62557  -0.64227  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  15.64
