WAVELENGTH,FLUX,CONTINUUM,WAVELENGTH [um]
1052.726198831136,1.1435776e-12,1.1991296e-12,0.10527261988311361
1053.7815580763045,1.1634176e-12,1.2157952e-12,0.10537815580763046
1054.8379752474386,1.1792896e-12,1.2324607e-12,0.10548379752474388
1055.8954516444473,1.2038912e-12,1.24992e-12,0.10558954516444476
1056.9539880672746,1.2324607e-12,1.2673792e-12,0.10569539880672749
1058.0135856158436,1.24992e-12,1.285632e-12,0.10580135856158437
1059.07424549007,1.2467455e-12,1.3030912e-12,0.10590742454900703
1060.1359686898845,1.2523008e-12,1.321344e-12,0.10601359686898847
1061.1987562152165,1.2808704e-12,1.3395968e-12,0.10611987562152167
1062.262609165989,1.2761088e-12,1.3586432e-12,0.10622626091659892
1063.3275286421256,1.2673792e-12,1.3776896e-12,0.10633275286421258
1064.3935157435487,1.3046784e-12,1.396736e-12,0.1064393515743549
1065.4605714701888,1.3142016e-12,1.416576e-12,0.1065460571470189
1066.5286970219618,1.2999168e-12,1.436416e-12,0.1066528697021962
1067.5978931988113,1.2983296e-12,1.456256e-12,0.10675978931988116
1068.66816140064,1.325312e-12,1.4768896e-12,0.10686681614006402
1069.7395024273915,1.3864192e-12,1.4975231e-12,0.10697395024273916
1070.811917578975,1.4268928e-12,1.5181568e-12,0.10708119175789751
1071.8854077553274,1.444352e-12,1.539584e-12,0.10718854077553276
1072.9599741563648,1.4514944e-12,1.5610112e-12,0.1072959974156365
1074.0356177820172,1.4760959e-12,1.5824384e-12,0.10740356177820173
1075.1123397322076,1.5054592e-12,1.6046592e-12,0.10751123397322078
1076.1901411068593,1.535616e-12,1.62688e-12,0.10761901411068595
1077.269023005895,1.5768832e-12,1.6498944e-12,0.10772690230058951
1078.3489864292446,1.6086272e-12,1.6729088e-12,0.10783489864292449
1079.4300325768243,1.6379904e-12,1.6967168e-12,0.10794300325768244
1080.5121623485713,1.6633856e-12,1.7197311e-12,0.10805121623485715
1081.5953771443876,1.6713216e-12,1.7443328e-12,0.10815953771443879
1082.679677764217,1.670528e-12,1.7689344e-12,0.10826796777642173
1083.765065407976,1.6379904e-12,1.793536e-12,0.10837650654079761
1084.8515410755938,1.6252928e-12,1.8181375e-12,0.10848515410755939
1085.9391060669802,1.6951296e-12,1.8435327e-12,0.10859391060669804
1087.0277612820719,1.7856e-12,1.8697216e-12,0.10870277612820721
1088.1175078207918,1.821312e-12,1.8959103e-12,0.1088117507820792
1089.208346983049,1.8403584e-12,1.9220992e-12,0.10892083469830492
1090.300279568788,1.8459136e-12,1.9490815e-12,0.10903002795687883
1091.3933068779172,1.862579e-12,1.976064e-12,0.10913933068779175
1092.487429910367,1.910195e-12,2.0030464e-12,0.10924874299103671
1093.582649866053,1.9506688e-12,2.0332032e-12,0.10935826498660534
1094.6789677449058,1.9482879e-12,2.0601856e-12,0.10946789677449059
1095.7763846468479,1.862579e-12,2.0903424e-12,0.10957763846468481
1096.8749017717957,1.7752832e-12,2.1173248e-12,0.10968749017717959
1097.974520119679,1.8308352e-12,2.1490687e-12,0.10979745201196792
1099.075240890414,1.9244799e-12,2.1776383e-12,0.10990752408904143
1100.1770650839308,2.0506624e-12,2.2093824e-12,0.1100177065083931
1101.2799939001452,2.2435072e-12,8.912128e-12,0.11012799939001454
1102.3840283389873,2.4347648e-12,3.1537664e-10,0.11023840283389874
1103.489169700366,2.612531e-12,3.3077246e-10,0.11034891697003661
1104.5954188842184,2.751411e-12,3.4624767e-10,0.11045954188842186
1105.7027769904678,2.9466369e-12,3.622784e-10,0.1105702776990468
