WAVELENGTH,FLUX,STATERROR,SYSERROR,FWHM,DATAQUAL,TOTEXP,WAVELENGTH [um]
1218.300048828125,0.0,1.11990535e-10,5.5158287e-12,6.0,1,0.0,0.12183000488281252
1219.4000244140625,0.0,6.522728e-11,3.8712835e-12,6.0,1,0.0,0.12194000244140628
1220.5999755859375,0.0,5.829326e-11,4.1487556e-12,6.0,1,0.0,0.12205999755859377
1221.800048828125,0.0,3.8797982e-11,3.3859627e-12,6.0,1,0.0,0.12218000488281253
1223.0,0.0,1.6407719e-11,1.5808827e-12,6.0,1,0.0,0.12230000000000002
1224.199951171875,0.0,1.4763826e-11,1.7591169e-12,6.0,1,0.0,0.12241999511718753
1225.300048828125,0.0,2.0062077e-11,3.7552452e-12,6.0,1,0.0,0.12253000488281253
1226.5,0.0,2.1675205e-11,2.5808355e-12,6.0,1,0.0,0.12265000000000002
1227.699951171875,0.0,9.00293e-12,1.5593531e-13,6.0,1,0.0,0.12276999511718752
1228.9000244140625,0.0,1.3221038e-11,7.74417e-13,6.0,1,0.0,0.12289000244140627
1230.0,2.8629555e-11,1.867148e-11,8.588866e-13,6.0,1,0.0,0.12300000000000003
1231.199951171875,3.7603427e-11,1.6719138e-11,1.1281028e-12,6.0,1,0.0,0.12311999511718752
1232.4000244140625,6.476732e-11,1.634093e-11,1.9430197e-12,6.0,1,0.0,0.12324000244140627
1233.5999755859375,5.3642826e-11,1.3518711e-11,1.6092848e-12,6.0,1,0.0,0.12335999755859377
1234.800048828125,5.626921e-11,1.7672953e-11,1.6880763e-12,6.0,1,0.0,0.12348000488281252
