CNS5,GJ,Comp,NComp,P_,GJp,GaiaDR3,HIP,RAJ2000,DEJ2000,_tab1_11,plx,pmRA,pmDE,RV,Gmag,BPmag,RPmag,GHIPmag,G-RPHIP,Gmagr,__G-RP_r,f__G-RP_r,Jmag,Hmag,Ksmag,W1mag,W2mag,W3mag,W4mag,SimbadName
4506,707,,,0,,6721432232656219136,89211,273.08995377345,-43.44670335929,2016.0,75.74,133.79,-417.45,-3.92,7.846925,8.586171,7.012912,,,7.846925,0.834443,0,6.037,5.417,5.241,5.197,5.055,5.179,5.053,CNS5 4506
4624,12707,,,0,,6709964635600548864,,280.28599841198,-43.79280811441,2016.0,80.0,-796.02,-85.86,,14.137705,16.699154,12.72431,,,14.137705,1.420606,0,10.477,9.939,9.603,9.36,9.158,8.956,8.59,CNS5 4624
4510,12638,,,0,,6725832095922016256,,273.33471198907,-39.84395218207,2016.0,53.22,-31.27,-144.61,,11.732868,13.102717,10.575909,,,11.732868,1.152887,0,9.057,8.48,8.187,8.022,7.883,7.773,7.645,CNS5 4510
4533,12650,,,0,,6726429375571878912,,274.83200624991,-40.5505982239,2016.0,42.3,28.23,-259.91,,15.688305,18.191454,14.262448,,,15.688305,1.414982,0,11.905,11.258,10.919,10.665,10.513,10.336,8.436,CNS5 4533
4603,12694,,,0,,6723777800190041088,,278.95164143982,-39.60177346904,2016.0,47.15,-62.08,21.54,,13.2849045,14.997795,12.031774,,,13.284904,1.252409,0,10.241,9.691,9.381,9.166,9.002,8.846,8.245,CNS5 4603
4697,732,,,0,,6729187672268648448,,283.41831441833,-38.61645831127,2016.0,80.44,353.23,-924.8,,11.327122,12.919629,10.097856,,,11.327122,1.222421,0,8.396,7.818,7.589,7.426,7.232,7.147,6.909,CNS5 4697
4691,12748,,,0,,6730934796246420480,,283.10782390354,-37.51048575414,2016.0,64.77,425.01,-80.22,,11.352877,13.001155,10.102905,,,11.352877,1.238341,0,8.377,7.857,7.559,7.379,7.186,7.09,6.974,CNS5 4691
4885,12870,,,0,,6689574432978156544,,295.62528946291,-41.25320924049,2016.0,40.26,-8.94,56.5,,16.04644,18.775808,14.600137,,,16.04644,1.445894,0,12.267,11.707,11.298,11.077,10.872,10.492,8.331,CNS5 4885
4713,12764,B,3,0,12763,6716791228418408448,,284.25482071104,-40.19845962443,2016.0,42.28,30.43,-198.15,,13.57207,15.359556,12.280863,,,13.57207,1.27491,0,,,,,,,,CNS5 4713
4712,12763,A,3,1,,6716791228414290944,,284.25383018456,-40.19829419739,2016.0,42.32,34.06,-192.55,,13.559319,15.399895,12.265902,,,13.559319,1.2859,0,,,,,,,,CNS5 4712
4711,12762,C,3,0,12763,6716791228414302208,,284.24697571503,-40.19579968206,2016.0,42.32,32.78,-199.9,,13.889923,15.898584,12.565918,,,13.889923,1.322112,0,10.607,10.001,9.729,9.497,9.286,9.162,8.326,CNS5 4711
4771,4104,,,0,,6717813842950778880,,288.28573465273,-39.03273448995,2016.0,46.96,444.74,-245.06,,11.343997,12.64817,10.099464,,,11.343997,1.158223,0,8.473,7.924,7.658,7.5,7.363,7.283,7.184,CNS5 4771
4744,744,,,0,,6718894388002453504,93858,286.71754570098,-37.81229043722,2016.0,58.99,-187.7,-367.01,60.14,5.9807982,6.326192,5.458923,,,5.980798,0.51918,0,5.256,4.742,4.539,,,,,CNS5 4744
4755,12790,,,0,,6719043646702291968,,287.09311951823,-37.09186913304,2016.0,42.68,176.48,-170.49,,12.591324,14.089117,11.397576,,,12.591324,1.193126,0,9.757,9.192,8.932,8.774,8.599,8.492,8.384,CNS5 4755
4741,743.1,,,0,,,93825,286.60433092978,-37.06275699332,1991.25,57.79,96.74,-281.71,,,,,4.067072,0.430991,4.067072,0.430991,2,,,,,,,,CNS5 4741
